Ano-Calendário;Ocupação Principal do Declarante;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Veterinário, patologista (veterinário) e zootecnista;53737;4133,761004;523,4315349;2080,443818;226,0169989;189,3076839;0,06327111;36,64604387;46,40310107;40,43259867;200,2665833;56,13276957;29,02715823;25,3092413;3,7003229;0,01759403;257,381708;3278,100086;505,0265594;0,63090884;504,3956506;1,51961505;505,754318;507,9607739;48,7683467;53,74823699;2232,505062;395,150801;21749,44406;158,6779613;31,87324731;4,3353972;11,26110589;136,0230682;248,3764118;27,56958648;4,54939537;15,18824916;5,12151061;48,68944558;31,60265757
2020;Fonoaudiólogo, fisioterapeuta, terapeuta ocupacional e afins;165256;8325,380096;805,4445935;3264,906518;380,7851448;348,6569414;0,13289077;31,99531264;115,7719433;119,0117717;528,0919638;226,999484;17,56349251;15,35365217;2,20290671;0,00693363;709,2950739;6227,861222;582,4315546;0,6177833;581,8137713;1,26755403;583,0739891;531,9615941;132,4781113;88,06257532;2968,325777;745,0409602;31271,03333;249,3365358;37,42222247;1,74944313;6,02966713;359,6723864;657,6972246;19,29410143;2,40895429;25,95368285;0,22458777;98,86980828;104,5188268
2020;Advogado;365375;24424,32043;5942,995281;42194,91434;1098,207757;751,3000998;0,54074805;346,3669088;247,5593419;222,5066754;1366,73929;375,6375471;158,1713781;144,2809939;13,59786434;0,29251993;1484,168955;19471,33281;3130,146862;5,14395371;3125,002909;19,44692634;3144,369878;2751,947907;558,4093979;271,7505986;22088,21687;3487,480139;306288,93;2188,743993;379,7869994;13,13735542;109,4203931;1081,300712;1911,692946;177,085392;17,4955703;191,6870637;3,83107056;620,2953767;881,0701029
2020;Sociólogo e cientista político;5973;585,8168524;83,12971465;207,1412081;37,49653014;31,00847782;0,10949409;6,37855823;4,19113431;3,52053622;36,258911;0,32071054;3,27599896;2,89790112;0,37682445;0,00127339;28,15377543;472,5992558;82,59066714;0,08139176;82,50927538;0,16005047;82,66728429;82,97890643;7,26475798;8,2229766;155,8612447;25,10868526;2644,441999;28,8675285;5,57163237;1,26593629;1,33496754;13,57205665;43,92429314;2,95036259;0,37682445;4,57066307;0;9,16240893;9,31836465
2020;Antropólogo e arqueólogo;1489;138,1814233;20,77005244;56,00512034;10,54553223;9,49774887;0,00112079;1,04666257;1,22424729;0,87650686;8,35760248;0,01637014;0,76132161;0,70485142;0,05647019;0;6,39291387;110,0069288;19,13587559;0,00855402;19,12732157;0,03727646;19,16459803;20,47421003;0,76867685;2,32161132;31,37366017;7,63184697;534,6594615;9,84099633;0,75402996;0,33371889;0,24347088;3,45324529;10,13443559;0,7271901;0,05647019;0,50224344;0;1,54794086;1,39030889
2020;Economista, administrador, contador, auditor e afins;452073;42727,65279;14552,0765;28618,20941;2345,285806;1405,016391;0,5591352;939,7102795;475,8773411;441,3969523;1823,556504;215,9992769;270,1294964;229,960999;40,02947657;0,13902082;2290,209651;34865,20102;6049,479281;12,03785011;6037,441431;15,34234648;6052,752402;6225,417091;319,5293772;533,2351927;25459,48425;4244,56131;322064,002;1549,131357;852,0360108;16,16490649;216,5965131;1717,225089;2299,906789;256,9376973;44,42464849;192,105932;1,03107648;701,3717908;882,8081648
2020;Profissional de marketing, publicidade e da comercialização;84451;6549,365627;1289,517871;3800,577586;230,5336957;143,5917781;0,02039646;86,92152114;48,66002388;51,29731675;195,4687515;4,97838843;23,01553957;19,23078434;3,78475523;0;517,1501056;5478,261806;892,3193998;0,59251155;891,7268882;1,10995556;892,835118;943,5505606;29,75142651;88,14660847;2922,677531;810,2105437;37677,71151;187,5904839;77,12695284;0,59251909;25,37982886;255,2822015;302,7239585;23,20223876;5,40598138;29,14224756;0,03624902;142,9980301;90,57644193
2020;Psicólogo;123592;7583,250662;1009,27624;3109,343672;345,6813519;299,1746569;0,11194211;46,39475295;73,82764509;79,42835217;540,6456783;265,0700392;10,86734228;9,34136234;1,4700848;0,05589514;548,7090122;5719,022121;673,4541792;0,78222446;672,6719547;1,82760956;674,4989921;630,4402633;119,730134;89,84602785;2831,830397;834,6014129;38343,38193;305,5408217;48,05095716;2,59402718;10,70917349;266,9866197;665,3888455;10,2840678;1,68291056;34,7935762;0,44723;115,2222721;140,03399
2020;Geógrafo;4360;385,4944206;44,72587863;86,78721306;25,63500702;22,10405124;0,04460776;3,48634802;4,4564612;3,29246487;19,91264619;0,0137204;2,36602783;2,14821826;0,20087058;0,01693899;22,62955627;307,1885368;47,97205273;0,03643434;47,93561839;0,0365966;47,97221499;49,51695881;3,81637924;5,39693035;81,75338568;13,54561206;1055,526621;11,13040533;2,67221149;0,51376134;0,94903827;9,41309141;23,48123487;2,19498731;0,20687058;0,86352145;0;5,80757312;3,33936131
2020;Historiador;4483;361,8170455;37,20143262;96,44893208;24,76998135;23,21046702;0,02039078;1,53912355;4,49268961;2,93589156;19,2783566;0,08488846;2,69225076;2,16336416;0,5288866;0;22,29016698;285,2728202;42,09773635;0,0334831;42,06425325;0,0724897;42,13477895;42,75501819;4,14757064;4,80548622;69,06102812;45,90840191;988,9789362;4,85642078;1,16078031;0,45299364;0,35033512;8,18932448;23,03591475;2,22598355;0,53134272;0,94736813;0;3,57968704;6,29908051
