Ano-Calendário;Tipo de Formulário de Declaração;Município;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;modelo completo;Adustina - BA;136;7,37953982;0,39724644;1,34087127;0,67020517;0,66770517;0;0,0025;0,47549172;0,06570653;0,79546219;0;0,05243603;0,05243603;0;0;0;5,32023818;0,49692319;0,00057366;0,49634953;0;0,49634953;0,47314309;0,09873082;0,07552438;1,3176596;0;11,30283509;0,16153735;0,00635288;0;0;0,09176825;0,81909203;0,05243603;0;0;0;0,001301;0,0082
2020;modelo completo;Afogados da Ingazeira - PE;1102;80,93428512;6,09820547;22,47243109;7,62176301;6,98285286;0,00424192;0,63466823;3,12596168;2,64534985;7,34572617;0,4836161;1,20703239;1,11413931;0,09289308;0;0;58,50483592;7,56811796;0,01184871;7,55626925;0,00342629;7,55969554;7,84196934;1,01113904;1,29341284;10,9722428;0,05;189,6508606;0,83607297;0,52430716;0,01116631;0,1717491;3,83001166;8,05660251;1,12397749;0,09289308;0,05870962;0;0,23788624;0,10276
2020;modelo completo;Afonso Bezerra - RN;102;6,08827553;0,44909456;0,61165003;0,55658931;0,55090205;0;0,00568726;0,21385752;0,13429114;0,51229584;0;0,10246041;0,10246041;0;0;0;4,56878131;0,50459491;0,00116214;0,50343277;0;0,50343277;0,50552845;0,08766386;0,08975954;1,58031105;0;4,24975713;0,00064633;0,00276842;0;0,00291884;0,15100764;0,52615158;0,10246041;0;0;0;0,0006;0
2020;modelo completo;Afonso Cláudio - ES;593;39,10612618;3,71837213;11,76376572;3,27169186;2,74456532;0,00422999;0,52289655;1,19659224;0,28936984;3,97799257;1,4609035;0,60195573;0,45362079;0,12384475;0,02449019;0;28,30762044;3,46893067;0,00036725;3,46856342;0,01534516;3,48390858;3,61204798;0,44903575;0,57717515;12,82256376;0,137;127,7355017;0,33031778;0,46340135;0,03990249;0,06454002;0,58804124;4,09192223;0,45362079;0,12384475;0,00868165;0;0,18866832;0,40085
2020;modelo completo;Afonso Cunha - MA;50;3,40075634;0,22826412;0,02218734;0,40455277;0,40455277;0;0;0,19793196;0,10378918;0,19339534;0;0,058464;0,050964;0,0075;0;0;2,44262309;0,24779991;0;0,24779991;0;0,24779991;0,13723192;0,11567963;0,00511164;0;0;0,06389097;0;0;0;0;0,11507418;0,19339534;0,050964;0,0075;0;0;0;0
2020;modelo completo;Afrânio - PE;212;12,06574396;0,7875125;1,88904505;1,18876775;1,13641498;0;0,05235277;0,72347544;0,31513557;1,1019714;0;0,09013686;0,08298686;0,00715;0;0;8,64625694;0,78582506;0,00054351;0,78528155;0,00212176;0,78740331;0,81284039;0,14835202;0,1737891;1,05978948;0;22,93600568;0,49483381;0,02643367;0;0,0259191;0,421907;1,10549756;0,08298686;0,00715;0,0321934;0;0,01453;0,0271
2020;modelo completo;Afuá - PA;383;19,18281321;1,23127409;0,99377787;1,48120407;1,47059139;0;0,01061268;1,54932948;0,60406957;2,00377006;0;0,36872304;0,34939148;0,01933156;0;0;13,17571699;0,7233109;0,00003062;0,72328028;0;0,72328028;1,00691695;0,07495951;0,35859618;0,41142098;0;3,4138477;0;0,00386928;0;0,01287621;0,73295173;2,00377006;0,34939148;0,01933156;0;0;0,03850077;0
2020;modelo completo;Agrestina - PE;280;14,21278772;0,91494195;2,7993163;1,26095965;1,21097915;0;0,0499805;0,6597742;0,37531347;1,19386122;0,56219197;0,26601316;0,19626824;0,06974492;0;0;9,89467405;0,82911382;0,00035449;0,82875933;0,00165274;0,83041207;0,91943132;0,10690213;0,19592138;1,55157275;0;14,31345908;0,04536003;0,03696078;0,00763066;0,00538906;0,65814284;1,21452693;0,19626824;0,06974492;0,06270949;0;0,0843472;0
2020;modelo completo;Agricolândia - PI;92;4,26000826;0,3283921;0,65189429;0,39430099;0,37902588;0;0,01527511;0,27983484;0,0871341;0,35486593;0;0,0544758;0,05121036;0,00326544;0;0;3,0893966;0,2356075;0;0,2356075;0,00391123;0,23951873;0,2325528;0,06176483;0,0547989;0,02402115;0;1,83410004;0,01060593;0,01527511;0;0;0,17868455;0,36104821;0,05121036;0,00326544;0;0;0,0072301;0
2020;modelo completo;Agrolândia - SC;423;23,43501122;2,45429326;8,4103989;2,10353728;1,82936526;0;0,27417202;1,31044608;0,22411507;1,51531894;0,79458032;0,38623337;0,34238085;0,04385252;0;0;17,10078016;1,59540825;0,00807869;1,58732956;0,02274122;1,61007078;1,68366165;0,2079079;0,28149877;9,46925296;0,6063625;68,07521092;0,34399833;0,25378067;0;0,0619235;0,58892477;1,52065513;0,34238085;0,04385252;0,22945402;0;0,0142;0
2020;modelo completo;Agronômica - SC;235;12,26952764;1,02239709;5,27788317;1,06599012;0,89050034;0;0,17548978;0,50177659;0,2365252;0,63507694;0,31744182;0,16648052;0,14938052;0,0171;0;0;9,34623645;0,97237395;0,00211971;0,97025424;0;0,97025424;0,9766736;0,12054497;0,12696433;5,74303122;0,6481398;51,9064004;0,28271854;0,13574106;0;0,07049369;0,40307304;0,68497758;0,14938052;0,0171;0,025;0;0,01696066;0
2020;modelo completo;Aguanil - MG;66;3,23856726;0,36835371;0,36223958;0,30080222;0,26729589;0;0,03350633;0,170631;0,04305816;0,25993774;0,02667202;0,0055584;0,0055584;0;0;0;2,43190772;0,21702015;0,00075033;0,21626982;0;0,21626982;0,2216433;0,02763359;0,03300707;0,53007163;0;6,49123166;0,0925658;0,02771512;0,00631671;0,0028932;0,16156739;0,25993774;0,0055584;0;0;0;0,10301171;0,00025
2020;modelo completo;Aguaí - SP;1619;96,82225887;10,30765384;34,85366046;7,52259564;6,84898719;0,00086046;0,67274799;3,5296244;1,43065513;10,62981317;1,53064243;1,53070412;1,37196873;0,15873539;0;0;70,64822398;8,15497095;0,01287516;8,14209579;0,00364936;8,14574515;8,00296953;1,43913007;1,29635445;43,29549889;2,39476395;469,9668068;3,8246038;0,42853835;0,01287955;0,3605834;3,03685295;11,18183372;1,38232348;0,16353539;0,15689318;0,01577975;0,44919257;2,31650907
2020;modelo completo;Agudo - RS;493;36,87637016;5,00016502;15,12381375;3,21316201;2,75059111;0,00254803;0,46002287;0,95931121;0,32846026;3,21963976;0,54426082;0,74444857;0,63767791;0,10644112;0,00032954;0;27,86708753;3,99593184;0,01771621;3,97821563;0,00359903;3,98181466;3,45893013;0,90572564;0,38284111;11,02443898;1,26376053;163,6496774;0,94668315;0,38260205;0,01925597;0,15551435;0,60214518;3,31476585;0,63767791;0,10644112;0,26785196;0;0,20294184;0,2143434
2020;modelo completo;Agudos - SP;2191;121,4656806;14,22060688;39,83298386;10,75803657;9,48946706;0,00338456;1,26518495;5,18660803;2,66120567;9,14500302;1,37724364;2,3200642;2,02118955;0,29887465;0;0;90,01751947;9,84619206;0,01513957;9,83105249;0,00754062;9,83859311;10,04329463;1,20505977;1,40976129;32,87231088;2,52907926;450,8299785;4,09500164;0,92190019;0,05588848;0,43755153;4,63157156;9,34409896;2,10010888;0,29887465;0,25827511;0,0036;1,35379937;1,79962128
2020;modelo completo;Agudos do Sul - PR;203;10,29315433;0,81326719;2,52646702;0,9743146;0,86264851;0;0,11166609;0,51644316;0,06606506;0,70003405;0,24885004;0,12534099;0,11387613;0,01146486;0;0;7,66210643;0,79419371;0,00005;0,79414371;0,0030069;0,79715061;0,77705029;0,13629877;0,11619845;0,58195996;0;22,11703338;0,00137438;0,15085118;0;0,01506635;0,10097123;0,71365862;0,11387613;0,01146486;0,00468453;0;0,05058132;0,00006
2020;modelo completo;Aguiar - PB;68;3,47070986;0,21559044;1,78736298;0,2701691;0,26784649;0;0,00232261;0,19565688;0,1050005;0,26706021;0;0,10831066;0,10831066;0;0;0;2,52451251;0,21402295;0;0,21402295;0;0,21402295;0,21800474;0,02513334;0,02911513;0,53431576;0;3,17773936;0;0,00063693;0;0,00168568;0,16367968;0,26706021;0,10831066;0;0;0;0,01163621;0
2020;modelo completo;Aguiarnópolis - TO;112;8,55508367;0,55280937;2,09419855;0,72492013;0,71615509;0;0,00876504;0,38448852;0,18915966;0,47911043;0,332637;0,12207034;0,04495823;0,07711211;0;0;6,32269759;0,88338599;0;0,88338599;0,00000341;0,8833894;0,91684763;0,0729108;0,10636903;0,23530139;0;9,66533537;0,004;0;0,00876504;0;0,2624935;0,47911043;0,04495823;0,07746211;0;0;0;0
2020;modelo completo;Aimorés - MG;783;53,24429748;7,38753701;19,61712169;4,0512575;3,61967835;0,00144743;0,43013172;1,7404372;0,94328543;4,63041913;0,54897627;0,97277132;0,87071903;0,10205229;0;0;40,35715063;5,44503499;0,01097314;5,43406185;0,00210507;5,43616692;5,05554875;1,0003044;0,61968623;11,2262483;0,2137832;138,5863232;1,45337786;0,33267732;0,03355442;0,09944486;1,79881106;4,77842263;0,90993093;0,10205229;0,03668401;0;0,17990232;0,30161
2020;modelo completo;Aiquara - BA;69;3,42890762;0,24083749;0,14284494;0,33402917;0,32036791;0;0,01366126;0,19565688;0,0770385;0,23682618;0;0,015867;0,015867;0;0;0;2,56948989;0,20059071;0;0,20059071;0;0,20059071;0,22392245;0,03418594;0,05751768;0,07731561;0;1,34453272;0;0,01366126;0;0;0,08951795;0,23682618;0,015867;0;0;0;0,00162;0
